iter	Passed	Remaining
1139	12887	15374
1140	12898	15363
1141	12907	15348
1142	12918	15337
1143	12927	15322
1144	12936	15309
1145	12945	15294
1146	12953	15279
1147	12961	15264
1148	12970	15251
1149	12978	15236
1150	12987	15221
1151	12995	15205
1152	13002	15190
1153	13010	15175
1154	13019	15160
1155	13026	15145
1156	13034	15129
1157	13041	15113
1158	13049	15098
1159	13056	15082
1160	13065	15068
1161	13073	15053
1162	13081	15039
1163	13089	15024
1164	13098	15009
1165	13105	14994
1166	13114	14979
1167	13122	14965
1168	13131	14951
1169	13138	14935
1170	13147	14920
1171	13154	14905
1172	13163	14891
1173	13170	14876
1174	13179	14861
1175	13186	14846
1176	13194	14831
1177	13202	14816
1178	13210	14802
1179	13218	14786
1180	13226	14772
1181	13234	14757
1182	13242	14742
1183	13250	14727
1184	13259	14714
1185	13267	14699
1186	13276	14685
1187	13284	14671
1188	13293	14657
1189	13301	14642
1190	13310	14629
1191	13318	14614
1192	13327	14601
1193	13335	14586
1194	13348	14577
1195	13366	14572
1196	13381	14566
1197	13397	14561
1198	13419	14560
1199	13441	14561
1200	13468	14567
1201	13492	14570
1202	13534	14592
1203	13573	14610
1204	13592	14608
1205	13646	14642
1206	13677	14651
1207	13694	14646
1208	13710	14640
1209	13722	14629
1210	13745	14630
1211	13764	14627
1212	13779	14620
1213	13792	14610
1214	13820	14616
1215	13833	14607
1216	13845	14596
1217	13859	14587
1218	13876	14582
1219	13888	14571
1220	13898	14558
1221	13912	14549
1222	13926	14541
1223	13936	14528
1224	13946	14516
1225	13958	14505
1226	13967	14491
1227	13981	14482
1228	14048	14528
1229	14063	14521
1230	14075	14509
1231	14085	14497
1232	14100	14489
1233	14118	14484
1234	14131	14475
1235	14144	14464
1236	14160	14458
1237	14180	14454
1238	14193	14445
1239	14209	14438
1240	14227	14433
1241	14239	14422
1242	14252	14412
1243	14268	14406
1244	14291	14406
1245	14307	14399
1246	14323	14392
1247	14334	14380
1248	14352	14375
1249	14362	14362
1250	14386	14363
1251	14395	14349
1252	14414	14345
1253	14434	14342
1254	14458	14342
1255	14475	14336
1256	14494	14332
1257	14513	14329
1258	14532	14324
1259	14540	14310
1260	14552	14298
1261	14563	14286
1262	14573	14273
1263	14584	14261
1264	14594	14247
1265	14604	14235
1266	14618	14226
1267	14639	14224
1268	14652	14213
1269	14665	14203
1270	14684	14198
1271	14700	14192
1272	14710	14179
1273	14742	14186
1274	14759	14180
1275	14781	14178
1276	14799	14173
1277	14818	14169
1278	14835	14162
1279	14849	14153
1280	14862	14142
1281	14881	14138
1282	14893	14127
1283	14902	14113
1284	14915	14103
1285	14926	14091
1286	14947	14087
1287	14965	14082
1288	14980	14074
1289	14992	14063
1290	15003	14050
1291	15013	14037
1292	15023	14024
1293	15035	14013
1294	15048	14002
1295	15061	13992
1296	15069	13977
1297	15082	13966
1298	15095	13956
1299	15105	13943
1300	15116	13931
1301	15128	13920
1302	15140	13908
1303	15150	13895
1304	15162	13884
1305	15173	13872
1306	15185	13861
1307	15202	13854
1308	15218	13846
1309	15230	13835
1310	15242	13824
1311	15257	13815
1312	15267	13802
1313	15280	13791
1314	15296	13784
1315	15309	13774
1316	15319	13761
1317	15332	13750
1318	15344	13738
1319	15357	13728
1320	15367	13715
1321	15379	13703
1322	15390	13692
1323	15398	13677
1324	15408	13664
1325	15417	13650
1326	15428	13637
1327	15440	13626
1328	15449	13612
1329	15462	13602
1330	15473	13590
1331	15483	13577
1332	15496	13566
1333	15508	13555
1334	15519	13543
1335	15530	13530
1336	15541	13519
1337	15554	13508
1338	15564	13495
1339	15578	13485
1340	15590	13474
1341	15601	13462
1342	15609	13448
1343	15620	13435
1344	15628	13420
1345	15637	13406
1346	15645	13391
1347	15653	13377
1348	15661	13362
1349	15670	13348
1350	15678	13334
1351	15686	13319
1352	15695	13306
1353	15704	13291
1354	15713	13278
1355	15721	13263
1356	15730	13249
1357	15740	13237
1358	15751	13224
1359	15763	13213
1360	15779	13205
1361	15788	13192
1362	15797	13177
1363	15805	13163
1364	15813	13148
1365	15821	13134
1366	15830	13120
1367	15838	13105
1368	15851	13096
1369	15861	13083
1370	15875	13073
1371	15888	13062
1372	15901	13052
1373	15912	13040
1374	15924	13028
1375	15936	13017
1376	15949	13007
1377	15959	12994
1378	15971	12983
1379	15983	12971
1380	15992	12958
1381	16004	12947
1382	16016	12935
1383	16027	12923
1384	16039	12912
1385	16052	12902
1386	16067	12893
1387	16081	12883
1388	16090	12869
1389	16102	12858
1390	16168	12890
1391	16182	12880
1392	16193	12868
1393	16204	12856
1394	16216	12845
1395	16228	12834
1396	16242	12824
1397	16265	12821
1398	16279	12811
1399	16288	12797
1400	16296	12783
1401	16305	12769
1402	16312	12754
1403	16321	12740
1404	16328	12726
1405	16337	12712
1406	16346	12698
1407	16354	12684
1408	16362	12669
1409	16373	12657
1410	16381	12642
1411	16389	12628
1412	16398	12615
1413	16407	12601
1414	16416	12587
1415	16424	12573
1416	16432	12559
1417	16441	12545
1418	16449	12531
1419	16458	12517
1420	16465	12503
1421	16475	12490
1422	16485	12476
1423	16493	12463
1424	16502	12449
1425	16510	12435
1426	16519	12421
1427	16527	12407
1428	16535	12393
1429	16543	12379
1430	16553	12365
1431	16563	12353
1432	16572	12339
1433	16581	12325
1434	16589	12312
1435	16598	12298
1436	16607	12284
1437	16615	12271
1438	16624	12257
1439	16632	12243
1440	16640	12229
1441	16648	12215
1442	16656	12200
1443	16665	12187
1444	16674	12174
1445	16682	12160
1446	16690	12146
1447	16699	12132
1448	16707	12118
1449	16715	12104
1450	16722	12089
1451	16731	12075
1452	16738	12061
1453	16747	12048
1454	16757	12035
1455	16766	12021
1456	16774	12007
1457	16782	11994
1458	16792	11981
1459	16803	11969
1460	16815	11958
1461	16828	11947
1462	16860	11951
1463	16873	11940
1464	16885	11929
1465	16896	11917
1466	16917	11912
1467	16929	11901
1468	16940	11889
1469	16954	11879
1470	16972	11872
1471	16985	11861
1472	16996	11850
1473	17008	11838
1474	17025	11831
1475	17036	11819
1476	17045	11806
1477	17061	11797
1478	17070	11784
1479	17079	11770
1480	17087	11757
1481	17096	11743
1482	17104	11730
1483	17118	11719
1484	17130	11708
1485	17141	11696
1486	17159	11689
1487	17170	11677
1488	17179	11664
1489	17188	11651
1490	17198	11638
1491	17207	11625
1492	17216	11612
1493	17225	11599
1494	17234	11585
1495	17242	11571
1496	17250	11557
1497	17258	11544
1498	17266	11530
1499	17275	11516
1500	17283	11503
1501	17291	11489
1502	17299	11475
1503	17308	11461
1504	17315	11448
1505	17326	11436
1506	17335	11422
1507	17345	11410
1508	17353	11396
1509	17361	11382
1510	17369	11369
1511	17378	11356
1512	17386	11342
1513	17395	11328
1514	17404	11315
1515	17412	11301
1516	17420	11288
1517	17429	11275
1518	17438	11262
1519	17446	11248
1520	17455	11235
1521	17463	11221
1522	17471	11207
1523	17479	11194
1524	17488	11180
1525	17496	11167
1526	17505	11154
1527	17513	11140
1528	17521	11127
1529	17529	11113
1530	17538	11100
1531	17546	11086
1532	17555	11073
1533	17564	11060
1534	17572	11047
1535	17580	11033
1536	17588	11020
1537	17597	11006
1538	17606	10993
1539	17614	10980
1540	17622	10966
1541	17630	10953
1542	17637	10939
1543	17645	10925
1544	17655	10913
1545	17662	10899
1546	17670	10885
1547	17678	10872
1548	17686	10858
1549	17694	10844
1550	17701	10830
1551	17709	10817
1552	17717	10803
1553	17724	10789
1554	17732	10776
1555	17740	10762
1556	17748	10749
1557	17756	10735
1558	17764	10722
1559	17772	10709
1560	17780	10695
1561	17787	10681
1562	17795	10668
1563	17804	10655
1564	17812	10641
1565	17824	10631
1566	17832	10617
1567	17840	10604
1568	17849	10591
1569	17856	10577
1570	17864	10564
1571	17873	10551
1572	17881	10537
